epoch,train_loss,train_ade,train_fde,val_loss,val_ade,val_fde,lr
1,0.00031126924506486427,0.022914500550973178,0.028328010671392963,0.00020515986090059217,0.017986493428330277,0.02839586501015669,0.001
2,0.00025432041313756744,0.019748890579528375,0.02658734741894001,0.00020560342799847241,0.018122697248070425,0.027984307970591756,0.001
3,0.00025196918506401804,0.019528344247973978,0.02637303982770164,0.0002034930255535454,0.018211479043788878,0.027677113391128202,0.001
4,0.00023200883717061567,0.019343144908913583,0.02619410507515819,0.00021233860445086096,0.018869326731493306,0.028378738131744286,0.001
5,0.00020014736790504147,0.018600681604474707,0.02564792350537003,0.00021182099249738543,0.01864827796029238,0.029087848815649558,0.001
6,0.0001905431029276417,0.017995526399406814,0.025085385510822726,0.00020086586450921714,0.017849108553737655,0.02738892923977549,0.001
7,0.00018421115093672367,0.017754627521138617,0.024986760168362047,0.00020286313057030466,0.01829544723872686,0.027542459650504666,0.001
8,0.00017785234552895345,0.01746756988858701,0.02470546082983182,0.00019927256659663494,0.017807422660637732,0.027450774737238,0.001
9,0.00017673299935049312,0.01733588748057195,0.02465079299867358,0.0002064187374228959,0.018485477869546563,0.0283888804314788,0.001
10,0.00017001236582302463,0.017122253624498176,0.024424270932593535,0.00020130172013804138,0.018004314229679914,0.027467593019060304,0.001
11,0.00016430658976175549,0.01685366548020981,0.024160939495538544,0.0002097806072271109,0.018473216952720604,0.027706642483555994,0.001
12,0.00016245183667331302,0.016800587485960396,0.023995363587986793,0.000203542875438855,0.017947683036012328,0.027327107121856847,0.001
13,0.00016034626233190163,0.016707145134748715,0.023926388487330058,0.00020657065522420575,0.018183971482504308,0.027492393897039065,0.001
14,0.0001568089347139967,0.016527116952779225,0.023751366532839956,0.0002027984503644012,0.01824681129479824,0.02740212904789483,0.001
15,0.00015460880327710042,0.016479691026653823,0.023661135667943627,0.00020057072952709304,0.017979987840863226,0.027262487407403568,0.001
16,0.0001512629924465419,0.016290377449229003,0.02340299467333345,0.00020000178403325425,0.01776647062708346,0.027089711993412917,0.001
17,0.00015149560430006433,0.016281292593154122,0.023419891932578346,0.00020443457495767893,0.018125395426412467,0.027788170532620733,0.001
18,0.00014685844663975516,0.016007190453589223,0.02311557843938641,0.00021420866772538,0.018582860641890298,0.028113128400819247,0.001
19,0.0001442585953830121,0.015975584688957316,0.0230524431855522,0.0002010987427119449,0.01793629705539686,0.02724845583863698,0.001
20,0.00014286939980551585,0.0159142121105642,0.022950849402437502,0.00020329446726414092,0.017954800057423795,0.027462531448229674,0.001
21,0.0001408078355015341,0.01577936275397665,0.022712924360809607,0.0002067369465615289,0.017915341224871876,0.027699570807512165,0.001
22,0.000140856351084154,0.015744774021707354,0.02275050525397381,0.00019979045353862165,0.017384981661719954,0.027117406291765088,0.001
23,0.00013921986374968863,0.01562360913070328,0.022488749914204985,0.00021891655128754514,0.018545124123569963,0.028956400549499984,0.001
24,0.0001357326120501949,0.01549893286308523,0.022344073582642898,0.0002087651300393475,0.01784076349293896,0.02775762317580098,0.001
25,0.00013312412716656345,0.015357871044514271,0.022282615789033997,0.00021065042359581174,0.018132799765760627,0.02787400283171435,0.001
26,0.0001319919859748757,0.015297623953518339,0.022012501324553173,0.00021026085831115886,0.01791211374765597,0.02824611742104587,0.001
27,0.00013219578719913467,0.015323617596369719,0.02217664396419111,0.00021216977014423922,0.01816585181127391,0.028856221157230483,0.001
28,0.00012982052234929828,0.015216424102710518,0.022063131732202958,0.00020460525151600213,0.018150520902796476,0.027693070983218843,0.001
29,0.00012973953393137042,0.01517192964266244,0.02192338016231146,0.00020318088365310654,0.01764914200761322,0.027332806097339627,0.001
30,0.0001280121351339694,0.015078718883407087,0.021829986637675994,0.00020415869506863136,0.017504124608812323,0.02750127402825348,0.001
31,0.00011800571470774862,0.014523027159597477,0.021174716523877143,0.00021195811280259202,0.017603464663839934,0.02802673783192675,0.0005
32,0.00011633107203526559,0.014370877347534164,0.020970443194745114,0.00020438047927613795,0.01727606756829245,0.027509872138059166,0.0005
33,0.00011607451805827246,0.014348363123237614,0.02103804241487389,0.00021711806640551716,0.01799397313392408,0.028280812345177375,0.0005
34,0.00011484837068000203,0.014322625488399169,0.02093391976773164,0.0002059220271901561,0.01741792134306616,0.027323843318630348,0.0005
35,0.0001153876406647199,0.01426972123595049,0.020873846591536776,0.00020945180735532394,0.017692134708233068,0.027768764548381716,0.0005
36,0.00011587806540124353,0.014373522723842477,0.02086283912699365,0.0002094362240144577,0.017483324936766326,0.02787591070409305,0.0005
37,0.00011068509592377705,0.014103347133642806,0.0205826243317506,0.00021545843809061505,0.017998530433944428,0.028051815899463085,0.0005
38,0.00011174853601926242,0.014170190210893803,0.020709353669777008,0.00021027801764194202,0.017623665241473383,0.02822968411410964,0.0005
39,0.00011364821621955961,0.014225905622205649,0.0207997969685036,0.00021271037734642487,0.01771213663111876,0.02796808542018209,0.0005
40,0.00011101912848575983,0.014068825699365356,0.02059789155402576,0.00021688076746630966,0.01776821901293247,0.02786606455115448,0.0005
41,0.00010911344419773081,0.013988914932996087,0.020453651775398648,0.0002333774328838254,0.018732653451339197,0.028911351206580505,0.0005
42,0.00011001592697484635,0.014013362795209015,0.020458613253006738,0.00020699286336971367,0.017337694824190838,0.027830330438392108,0.0005
43,0.00010681147081778223,0.013859067962566815,0.02030075132090848,0.0002124237258886034,0.01776258799347861,0.028510874011268325,0.0005
44,0.00010788347613711834,0.013919975957910133,0.02041877929624753,0.00021407454389564144,0.017685612760106176,0.028532453383423435,0.0005
45,0.00010697075592902779,0.013838640763132107,0.020200290589341478,0.00022858087190384552,0.018470463322290468,0.0290270900633383,0.0005
46,0.00010679650124105405,0.013816605140326486,0.020216186277539794,0.00022342363429437545,0.01829439310463299,0.02892412741060111,0.0005
47,0.00010425613038891383,0.013693652831142,0.020003280325176648,0.00022279476896681515,0.01811493731775256,0.028320516270622768,0.0005
48,0.0001055379449557369,0.013782513526490152,0.020153252113832478,0.0002141604605278678,0.017629793214062366,0.02744345115911192,0.0005
49,0.00010457239890849955,0.013695227100727604,0.019952165791960495,0.00022001296881688824,0.017976010030226086,0.028506701024560294,0.0005
50,0.00010430147448936965,0.01368606882237517,0.02004153079583735,0.00021635030171266378,0.01777203226103654,0.028031760870024215,0.0005
