scope,model_name,de,mse,rmse,mae,hit_rate,inference_time_ms
point_f08,LSTM-AKF,0.01847880706191063,0.0003928382939193398,0.013066491112112999,0.010613932274281979,0.6852536797523499,0.05593345686793327
point_f08,LSTM-only,0.019190078601241112,0.0004074371827300638,0.013569436967372894,0.011011053808033466,0.6633192300796509,0.03768715634942055
point_f08,AKF-only,0.048555854707956314,0.005575233604758978,0.034334175288677216,0.028221681714057922,0.6051797270774841,1.7441871023038402e-05
point_f08,ANN,0.02012648433446884,0.0004859615582972765,0.014231572858989239,0.011835056357085705,0.6704545617103577,0.026878241449594498
point_f08,SVR,0.021093009039759636,0.0006114272982813418,0.014915012754499912,0.012479179538786411,0.6733615398406982,5.905219554901123
point_f08,AR,0.02040557563304901,0.0004465206584427506,0.014428920112550259,0.011560593731701374,0.6437631845474243,0.0005503698484972119
point_f08,DT,0.029556484892964363,0.0008714268333278596,0.020899591967463493,0.017639731988310814,0.514799177646637,0.0001854915462899953
point_f08,KNN,0.028388800099492073,0.0008135567768476903,0.020073913037776947,0.016985120251774788,0.5174418687820435,0.07218024134635925
point_f15,LSTM-AKF,0.027561066672205925,0.0007793162949383259,0.019488617777824402,0.015820274129509926,0.5182346701622009,0.05593345686793327
point_f15,LSTM-only,0.027450773864984512,0.000790407124441117,0.01941063068807125,0.015770087018609047,0.5303910970687866,0.03768715634942055
point_f15,AKF-only,0.13404692709445953,0.044375229626894,0.09478548914194107,0.07794534415006638,0.29571881890296936,1.7441871023038402e-05
point_f15,ANN,0.029151905328035355,0.0009217194165103137,0.02061351016163826,0.017096901312470436,0.5026426911354065,0.026878241449594498
point_f15,SVR,0.029158949851989746,0.0009816393721848726,0.020618490874767303,0.017071709036827087,0.5171775817871094,5.905219554901123
point_f15,AR,0.027777010574936867,0.0008118974510580301,0.019641311839222908,0.015997759997844696,0.5396406054496765,0.0005503698484972119
point_f15,DT,0.0400548055768013,0.0016644783318042755,0.02832302823662758,0.02372732013463974,0.41146934032440186,0.0001854915462899953
point_f15,KNN,0.03939448669552803,0.0016342673916369677,0.02785610780119896,0.023294709622859955,0.40459829568862915,0.07218024134635925
sequence_h08,LSTM-AKF,0.011694435961544514,0.0001973319158423692,0.009386616759002209,0.006717676296830177,0.8351942300796509,0.05593345686793327
sequence_h08,LSTM-only,0.012266396544873714,0.00020937094814144075,0.009805813431739807,0.007057643495500088,0.8193049430847168,0.03768715634942055
sequence_h08,AKF-only,0.02228524722158909,0.0017254733247682452,0.019450781866908073,0.012962508015334606,0.7752378582954407,1.7441871023038402e-05
sequence_h08,ANN,0.013111066073179245,0.0002587099152151495,0.01041386928409338,0.007782528642565012,0.815373957157135,0.026878241449594498
sequence_h08,SVR,0.014111445285379887,0.00037622114177793264,0.011119215749204159,0.008478621020913124,0.8269027471542358,5.905219554901123
sequence_h08,AR,0.012308894656598568,0.0002121091092703864,0.010062092915177345,0.006928678136318922,0.8105840086936951,0.0005503698484972119
sequence_h08,DT,0.02170410566031933,0.0005435674684122205,0.016573332250118256,0.013067721389234066,0.6540367603302002,0.0001854915462899953
sequence_h08,KNN,0.02105371467769146,0.0005157467676326632,0.016085265204310417,0.0126213189214468,0.6547634601593018,0.07218024134635925
sequence_h15,LSTM-AKF,0.01744246482849121,0.0003874855756293982,0.014318039640784264,0.010020740330219269,0.7152043581008911,0.05593345686793327
sequence_h15,LSTM-only,0.01780742220580578,0.00039854514761827886,0.014527312479913235,0.01024231780320406,0.7046159505844116,0.03768715634942055
sequence_h15,AKF-only,0.055845387279987335,0.011755261570215225,0.04996250569820404,0.03246830031275749,0.6101832985877991,1.7441871023038402e-05
sequence_h15,ANN,0.018994297832250595,0.00047946334234438837,0.015502169728279114,0.011168737895786762,0.697780191898346,0.026878241449594498
sequence_h15,SVR,0.01953854225575924,0.0005747913965024054,0.015805242583155632,0.011570794507861137,0.7109584212303162,5.905219554901123
sequence_h15,AR,0.018183980137109756,0.0004175231733825058,0.0148991784080863,0.010349576361477375,0.702660322189331,0.0005503698484972119
sequence_h15,DT,0.028187155723571777,0.0008812888409011066,0.022184155881404877,0.016842706128954887,0.5548626184463501,0.0001854915462899953
sequence_h15,KNN,0.02738901413977146,0.0008449486340396106,0.021699510514736176,0.016335483640432358,0.5564834475517273,0.07218024134635925
