epoch,train_loss,train_ade,train_fde,val_loss,val_ade,val_fde,monitored_loss,best_score,epochs_without_improvement,lr
1,0.003060190895778281,0.02537712439366078,0.03568052089469076,0.0013544016546187293,0.01798133126186329,0.02854365125361507,0.0013544016546187293,0.0013544016546187293,0,0.001
2,0.002719633803892502,0.01973420908766389,0.02686390159844817,0.001354951827122828,0.01825166543567628,0.028140238791420646,0.001354951827122828,0.0013544016546187293,1,0.001
3,0.0027139401029178216,0.019406307001424317,0.02661576786337275,0.0013525295545087131,0.017735475689038854,0.028086626543870185,0.0013525295545087131,0.0013525295545087131,0,0.001
4,0.0027130618720206012,0.019212341328083974,0.026486972481758485,0.0013533027335754292,0.017868902538184385,0.028146012065967597,0.0013533027335754292,0.0013525295545087131,1,0.001
5,0.0027122986736614306,0.019179550074961263,0.026587817143643448,0.0013551981551447158,0.018044596417840515,0.028008570004624745,0.0013551981551447158,0.0013525295545087131,2,0.001
6,0.0027118086755388436,0.019137146134972416,0.026482562721661523,0.001356488707775386,0.01782477533259679,0.028036414822819496,0.001356488707775386,0.0013525295545087131,3,0.001
7,0.002710952311757918,0.019116480750250665,0.02651278544224731,0.0013533855727986958,0.017838889496680548,0.028058683645397615,0.0013533855727986958,0.0013525295545087131,4,0.001
8,0.002711588583698304,0.019109869840317293,0.026462460347952185,0.0013523360353564237,0.01782418914970176,0.02817649832172575,0.0013523360353564237,0.0013523360353564237,0,0.001
9,0.002711567851166135,0.01911500226871146,0.0265043416600795,0.0013520597022698196,0.017739012446569526,0.0279744068361488,0.0013520597022698196,0.0013520597022698196,0,0.001
10,0.0027118842205541985,0.01913848360155104,0.02647745754844896,0.0013569940956374414,0.018119809152775033,0.02849873433373947,0.0013569940956374414,0.0013520597022698196,1,0.001
11,0.0027108871168090914,0.019127189026093967,0.02644255375057707,0.001352958541985426,0.01786376670668449,0.028148609609293888,0.001352958541985426,0.0013520597022698196,2,0.001
12,0.0027116559662292987,0.01913232794470769,0.026474004693320476,0.0013524445772922183,0.0177702799520158,0.028045138858069703,0.0013524445772922183,0.0013520597022698196,3,0.001
13,0.002711548174838851,0.01909406485289733,0.02647992184840675,0.0013551980644490582,0.017741075333948177,0.02803418557130068,0.0013551980644490582,0.0013520597022698196,4,0.001
14,0.002711679002620533,0.01913668106602054,0.02648234535153861,0.0013524782166746889,0.017724352224235743,0.028119172444114222,0.0013524782166746889,0.0013520597022698196,5,0.001
15,0.002711427822651991,0.019118581322786012,0.026519075049091588,0.001354518071971056,0.01778049542062599,0.028047048701386874,0.001354518071971056,0.0013520597022698196,6,0.001
16,0.0027117694316247066,0.019060618420926247,0.026403373781350978,0.001351656579853323,0.017722691968477176,0.028117608056496237,0.001351656579853323,0.001351656579853323,0,0.001
17,0.002711378022979648,0.019169203931885818,0.02651159414126514,0.0013518267841916138,0.017796657654608406,0.028113143363018494,0.0013518267841916138,0.001351656579853323,1,0.001
18,0.002711457169741099,0.019125629233904866,0.02643654207504714,0.0013551950100543525,0.018170361962350553,0.028370526642883177,0.0013551950100543525,0.001351656579853323,2,0.001
19,0.0027108444305143442,0.019101202379420455,0.026505002197508672,0.0013528104779400604,0.01778948701815739,0.02814374903087006,0.0013528104779400604,0.001351656579853323,3,0.001
